vendor_id,vendor_name,category,subcategory,risk_score,financial_health,location,size,contract_start,primary_contact,payment_terms,preferred_vendor_status,spend_volume_tier,contract_complexity,renewal_frequency,price_escalation_terms
V0168,"Hicks, Porter and Williams",HR,Training,5.07,Average,Lake Mason,Medium,2023-06-04,ghernandez@example.org,Net 45,False,High,Low,Biennial,Negotiated
V0169,Velazquez-Flores,HR,Recruiting,4.64,Good,Ewingport,Small,2023-09-06,william88@example.com,Net 60,True,Low,Low,Biennial,CPI Linked
V0170,"Hart, Wells and Smith",IT,Hardware,0.51,Good,Emilychester,Medium,2023-08-29,laura09@example.com,Net 45,False,Medium,Low,Annual,Fixed
V0171,Coffey-Patton,Marketing,Events,6.17,Good,Lake Brett,Large,2023-06-10,alexandriagriffith@example.com,Net 45,False,High,High,Biennial,CPI Linked
V0172,Underwood and Sons,IT,Software,9.51,Poor,New Stacyville,Medium,2022-10-28,alexanderrobert@example.com,Net 45,True,Medium,Low,Biennial,CPI Linked
V0173,"Harris, Shaw and Carr",IT,Software,6.69,Poor,Salaston,Small,2023-12-02,aprilhoffman@example.net,Net 30,True,Low,Medium,Biennial,CPI Linked
V0174,Fox-Edwards,Facilities,Cleaning,9.31,Good,South Rhonda,Large,2023-02-22,erica49@example.com,Net 30,False,Low,Medium,Biennial,Fixed
V0175,Bernard LLC,HR,Training,6.43,Poor,Jeffreyport,Small,2024-01-21,janet75@example.com,Net 30,False,High,Low,Annual,Fixed
V0176,Castro-Michael,HR,Training,4.53,Good,Keithshire,Small,2023-11-09,zhuang@example.com,Net 60,False,Medium,High,Annual,Fixed
V0177,Roberts LLC,IT,Software,3.08,Good,West Sandraview,Small,2024-01-03,ilewis@example.com,Net 60,False,Low,High,Annual,CPI Linked
V0178,"Horton, Taylor and Gilbert",IT,Hardware,1.93,Poor,East Brent,Large,2024-05-05,danawilliams@example.com,Net 45,True,Medium,Medium,Biennial,Negotiated
V0179,Love-Garcia,Facilities,Cleaning,4.16,Average,North Tamara,Large,2024-05-23,richarddonovan@example.com,Net 30,True,Medium,Medium,Biennial,CPI Linked
V0180,Santos-Avila,Marketing,Digital Ads,8.79,Average,Manuelton,Medium,2024-05-07,pearsonjesse@example.net,Net 30,False,Medium,Low,Biennial,Fixed
V0181,"Jefferson, Johnson and Dorsey",Marketing,Events,2.53,Poor,Khanburgh,Small,2024-05-27,osbornrandy@example.com,Net 60,True,Low,Low,Biennial,Negotiated
V0182,Zuniga LLC,HR,Training,5.84,Good,North Kennethville,Small,2024-05-23,justin88@example.com,Net 30,True,High,Low,Annual,CPI Linked
V0183,Rosales Group,HR,Recruiting,9.77,Average,Jamesville,Small,2023-02-13,jessicawong@example.net,Net 30,True,High,Low,Biennial,Fixed
V0184,Smith LLC,Facilities,Maintenance,6.45,Good,Ashleyborough,Large,2022-10-16,gwilcox@example.com,Net 30,False,Medium,Low,Annual,CPI Linked
V0185,Morales Inc,Marketing,Events,5.13,Poor,East Thomas,Large,2024-05-28,adamreyes@example.com,Net 60,True,High,Medium,Biennial,CPI Linked
V0186,Finley-Turner,IT,Hardware,3.09,Poor,West Desireebury,Large,2022-07-20,marshallerik@example.net,Net 30,True,High,Medium,Annual,Fixed
V0187,"Leblanc, Barron and Carrillo",HR,Recruiting,4.96,Good,Lake Sabrinaport,Large,2023-03-14,jeffreyanderson@example.org,Net 60,True,High,Low,Biennial,CPI Linked
V0188,Adkins-Obrien,Facilities,Cleaning,9.06,Poor,Milesfort,Medium,2024-01-11,kathleenbecker@example.net,Net 60,False,Medium,High,Biennial,CPI Linked
V0189,Fox PLC,IT,Hardware,5.05,Good,Christianshire,Medium,2022-08-28,poolerebecca@example.org,Net 30,True,Medium,Low,Biennial,Fixed
V0190,"Herrera, Martin and Bond",IT,Software,4.59,Average,Wilsonborough,Small,2023-12-10,gdavis@example.com,Net 45,False,Low,Medium,Annual,CPI Linked
V0191,Chavez PLC,Operations,Logistics,0.5,Average,Bryantton,Small,2023-08-10,tchambers@example.net,Net 60,False,Medium,Medium,Biennial,Negotiated
V0192,Foster Inc,Marketing,Digital Ads,8.65,Poor,New Charles,Large,2023-04-27,isabella80@example.org,Net 30,False,Medium,Low,Annual,Fixed
V0193,Johnson-Ortiz,Facilities,Maintenance,9.96,Poor,Port Darlene,Small,2023-12-20,ybrooks@example.com,Net 45,False,High,Medium,Annual,Fixed
V0194,Bennett-Vega,Marketing,Digital Ads,5.96,Good,Lake Michelle,Large,2022-09-02,victorialong@example.org,Net 45,True,Low,High,Biennial,Negotiated
V0195,"Irwin, Davenport and Avila",Marketing,Digital Ads,2.27,Good,Stevenside,Large,2023-04-27,pmorrow@example.com,Net 30,True,Low,Medium,Annual,Negotiated
V0196,Moore-Lopez,Marketing,Digital Ads,8.95,Average,North Lisachester,Medium,2023-09-22,allencarlos@example.net,Net 30,True,High,High,Biennial,Negotiated
V0197,Griffin Ltd,Facilities,Cleaning,2.21,Good,East Joyfurt,Medium,2023-05-08,amberwebster@example.org,Net 30,False,High,High,Biennial,Fixed
V0198,Gordon LLC,Facilities,Cleaning,8.68,Good,Port Sabrina,Small,2023-08-23,barbara53@example.com,Net 45,False,Low,Low,Annual,Fixed
V0199,Odom PLC,IT,Cloud,2.64,Average,South Kevin,Medium,2022-07-19,conniesimmons@example.com,Net 30,True,Low,Medium,Annual,Negotiated
V0200,Compton Ltd,Operations,Utilities,8.09,Average,Floydmouth,Large,2023-11-24,trussell@example.com,Net 60,False,High,Low,Annual,Negotiated
V0201,Webster Group,HR,Training,9.18,Average,Port Jeremiah,Large,2024-03-29,lindamelendez@example.net,Net 45,False,High,High,Biennial,Fixed
V0202,Faulkner-Grant,Marketing,Events,6.0,Poor,South John,Large,2022-11-06,deborah75@example.org,Net 30,True,Medium,High,Annual,CPI Linked
V0203,"Hardy, Lee and Adams",Marketing,SEO,2.13,Poor,Port Charlesshire,Medium,2023-12-16,timothybooth@example.com,Net 30,True,Low,High,Annual,CPI Linked
V0204,Krueger-Smith,Operations,Logistics,7.8,Good,Lake David,Large,2024-01-08,srocha@example.net,Net 45,False,Medium,High,Biennial,Fixed
V0205,"Harris, Herman and Arnold",IT,Software,1.78,Poor,Oscarside,Medium,2023-10-18,kyle58@example.com,Net 45,True,High,High,Annual,Negotiated
V0206,Garcia-Zavala,Facilities,Maintenance,0.61,Poor,Gillmouth,Medium,2024-05-12,nathangutierrez@example.net,Net 45,True,High,High,Annual,CPI Linked
V0207,Figueroa Inc,HR,Recruiting,0.69,Good,Angelashire,Large,2023-08-25,mphillips@example.com,Net 45,False,Low,Low,Annual,Negotiated
V0208,James and Sons,Marketing,SEO,0.49,Average,Piercemouth,Small,2022-12-18,plevy@example.net,Net 45,False,Medium,High,Annual,CPI Linked
V0209,Murray-Oconnor,Facilities,Cleaning,8.95,Poor,Garyside,Large,2023-06-16,sabrinaweaver@example.net,Net 60,False,Medium,Low,Biennial,Fixed
V0210,Warren Inc,Marketing,SEO,6.88,Good,Port Adamberg,Medium,2024-03-17,carloshernandez@example.org,Net 45,True,Low,High,Annual,Negotiated
V0211,"Bryant, Brown and Little",Facilities,Maintenance,1.86,Average,Hopkinstown,Small,2022-06-07,hsmith@example.net,Net 45,True,Low,Low,Biennial,Fixed
V0212,Nichols-Mitchell,Facilities,Maintenance,2.49,Poor,Drakeburgh,Medium,2022-08-24,warrenjohn@example.net,Net 60,False,Medium,Medium,Biennial,Fixed
V0213,"King, Gomez and Norton",Marketing,SEO,9.31,Poor,West Susanmouth,Small,2023-08-14,veronicaperez@example.net,Net 60,False,Low,Medium,Biennial,CPI Linked
V0214,Valdez Ltd,HR,Recruiting,0.48,Average,North Richardfurt,Medium,2023-08-05,abrown@example.net,Net 30,False,High,Medium,Biennial,Negotiated
V0215,Miller Group,Facilities,Cleaning,3.39,Good,Arielville,Small,2024-04-27,hallrachel@example.net,Net 30,False,Medium,Medium,Annual,Fixed
V0216,"Alvarez, Williams and Jones",Marketing,Events,1.55,Poor,Rachelshire,Medium,2023-10-26,whitemelissa@example.org,Net 30,True,Low,Medium,Biennial,Negotiated
V0217,Matthews Ltd,IT,Hardware,7.2,Poor,Hickmanport,Large,2022-10-06,ashleyatkinson@example.net,Net 60,False,High,Medium,Annual,CPI Linked
V0218,"Rivera, Campos and Taylor",Marketing,SEO,8.39,Poor,New Juliestad,Small,2022-07-13,kimmary@example.com,Net 60,False,Medium,Low,Biennial,CPI Linked
V0219,"Mack, Friedman and Sanders",HR,Training,0.21,Average,Anthonyview,Large,2024-01-31,whenry@example.net,Net 30,True,Low,High,Biennial,Fixed
V0220,Reynolds-Frazier,Marketing,Events,1.97,Good,Millerport,Medium,2024-02-11,jennifermiller@example.org,Net 30,True,High,Medium,Annual,Fixed
V0221,Dawson-Walters,Operations,Logistics,0.07,Average,Stewartville,Large,2022-08-12,hahnsean@example.com,Net 30,False,Medium,Low,Annual,Negotiated
V0222,Anderson and Sons,Facilities,Cleaning,9.08,Poor,Coleside,Medium,2023-07-05,fgarcia@example.com,Net 60,False,Medium,High,Biennial,Fixed
V0223,"Davis, George and Nguyen",Facilities,Maintenance,8.69,Poor,Smithchester,Small,2023-03-30,hardyanita@example.org,Net 45,False,Medium,Medium,Biennial,CPI Linked
V0224,"Meyer, Jennings and Jackson",Operations,Utilities,6.13,Poor,Kevinfort,Large,2022-09-23,jacksonjoshua@example.com,Net 60,True,Medium,High,Biennial,Negotiated
V0225,Patton-Ward,Facilities,Maintenance,3.09,Average,Lake Colleen,Small,2023-09-06,stephentaylor@example.org,Net 60,False,Low,Medium,Biennial,Negotiated
V0226,Cook-Oliver,Marketing,Events,8.12,Poor,Scottchester,Small,2024-02-25,kevinmorrison@example.net,Net 45,True,Medium,Medium,Annual,CPI Linked
V0227,Mendoza and Sons,Facilities,Maintenance,6.47,Poor,Novakport,Small,2023-12-24,yfaulkner@example.org,Net 60,False,Low,Low,Biennial,Fixed
V0228,Bennett-Velasquez,Operations,Logistics,5.37,Good,Diazshire,Small,2022-11-04,erinpierce@example.net,Net 30,True,High,Medium,Annual,CPI Linked
V0229,Hahn-Clark,Operations,Utilities,9.15,Poor,Marieland,Medium,2024-02-28,ichambers@example.net,Net 45,False,Medium,High,Biennial,CPI Linked
V0230,Allen-Hopkins,IT,Hardware,5.86,Average,Mccormickland,Large,2023-05-16,iaguilar@example.net,Net 60,True,High,Medium,Biennial,Negotiated
V0231,"Barnes, Johnson and Schmitt",Facilities,Maintenance,3.61,Average,North Kaylastad,Medium,2022-10-09,hartdeanna@example.net,Net 30,False,Medium,High,Annual,CPI Linked
V0232,Rasmussen-Rivera,HR,Recruiting,1.61,Poor,Rodriguezville,Small,2022-12-19,williamstone@example.net,Net 30,True,Low,Low,Annual,Negotiated
V0233,"Johnston, Griffin and Myers",HR,Training,3.67,Average,West Whitney,Medium,2023-06-11,phillipssamantha@example.org,Net 60,False,Medium,Medium,Annual,CPI Linked
V0234,Guerra Ltd,Facilities,Cleaning,8.88,Poor,West Larry,Small,2023-05-21,adrianabailey@example.org,Net 30,True,High,High,Biennial,Fixed
V0235,Bowen-Chavez,HR,Recruiting,6.02,Good,West Bradleyville,Large,2022-06-19,deborah23@example.net,Net 30,False,Low,Medium,Annual,CPI Linked
V0236,Arnold LLC,Operations,Utilities,3.19,Average,Mullenbury,Large,2024-02-11,lsoto@example.net,Net 60,True,High,Medium,Biennial,CPI Linked
V0237,"Reynolds, Johnson and Mendez",HR,Training,4.71,Good,South Brittany,Medium,2023-03-31,bushjamie@example.net,Net 60,False,Medium,Medium,Annual,CPI Linked
V0238,Ray PLC,HR,Training,2.49,Good,West Mark,Small,2023-05-23,bakermichelle@example.net,Net 60,True,High,High,Annual,Negotiated
V0239,"Edwards, Price and Long",Marketing,Events,5.19,Good,West Michaelmouth,Medium,2023-09-24,lisamccarthy@example.com,Net 30,False,High,Medium,Biennial,Fixed
V0240,"Lawrence, Powers and Edwards",HR,Recruiting,6.41,Poor,West Daryl,Small,2023-03-18,williambarnes@example.org,Net 60,False,Low,High,Biennial,Fixed
V0241,"Reyes, Lopez and Reid",IT,Software,1.93,Poor,New Garrett,Medium,2023-01-12,jacobwilkinson@example.net,Net 30,False,Medium,Low,Annual,Fixed
V0242,Glenn Inc,HR,Recruiting,3.54,Good,Taylorfurt,Small,2023-08-12,fortiz@example.com,Net 60,True,Low,Low,Biennial,Fixed
V0243,"Larsen, Burns and Miller",HR,Training,6.6,Good,Port Kathleenport,Large,2022-06-27,jeffrey42@example.com,Net 45,False,Low,Medium,Annual,Negotiated
V0244,"Newton, Cannon and Dunn",Facilities,Maintenance,9.46,Poor,New Dannyside,Small,2024-03-02,amber07@example.net,Net 60,False,Medium,Medium,Annual,Negotiated
V0245,Fritz Inc,Facilities,Cleaning,5.75,Poor,West Nancy,Large,2022-06-27,fbaker@example.com,Net 60,True,Medium,Low,Biennial,Negotiated
V0246,Rowe and Sons,Facilities,Maintenance,1.2,Poor,Port Joan,Medium,2023-11-19,michelle96@example.org,Net 30,True,Low,High,Biennial,Fixed
V0247,"Taylor, Clark and Clark",IT,Hardware,8.07,Average,New Michaelview,Small,2023-09-08,mariopadilla@example.com,Net 60,False,Low,High,Annual,Fixed
V0248,"Adams, Hodge and Duke",HR,Recruiting,9.69,Poor,East Sydneychester,Small,2024-05-15,riddlemichelle@example.org,Net 60,True,High,Low,Biennial,Negotiated
V0249,"Cline, Wright and Dawson",IT,Software,9.69,Good,Port Megan,Small,2023-04-03,othomas@example.com,Net 60,True,High,High,Annual,Fixed
V0250,"Perry, Hayes and Schultz",Facilities,Maintenance,1.67,Average,South Zacharyview,Small,2023-11-23,shawn75@example.net,Net 45,True,Low,Medium,Biennial,Negotiated
V0251,Melton Ltd,Facilities,Maintenance,5.09,Good,Lake Teresastad,Medium,2024-03-23,flynnraymond@example.com,Net 60,True,Low,Medium,Biennial,CPI Linked
V0252,Simpson LLC,Facilities,Cleaning,0.99,Good,Matthewshire,Medium,2022-09-11,rkramer@example.org,Net 45,True,High,Low,Annual,Negotiated
V0253,Garcia Group,Operations,Utilities,2.71,Good,North Sarahburgh,Large,2023-05-10,bsmith@example.org,Net 45,False,High,Low,Annual,Fixed
V0254,"Blankenship, Khan and Turner",Marketing,Events,6.09,Good,Clarencestad,Small,2022-12-13,watsonrebecca@example.org,Net 60,True,Low,High,Annual,CPI Linked
V0255,Sanders LLC,Operations,Utilities,2.36,Poor,South Diana,Large,2023-11-30,smiththomas@example.org,Net 60,False,High,Low,Annual,CPI Linked
V0256,"Perez, Frazier and Smith",Marketing,SEO,3.53,Good,Lisachester,Medium,2023-11-23,timperez@example.org,Net 45,False,High,Low,Annual,Fixed
V0257,"Shaffer, Garcia and Richardson",IT,Cloud,4.06,Poor,Derrickberg,Large,2023-10-13,caseyelliott@example.net,Net 60,True,High,High,Biennial,CPI Linked
V0258,"Martin, Bell and Lewis",HR,Recruiting,8.35,Poor,South Christina,Medium,2023-05-11,christophergarcia@example.org,Net 45,False,Low,Low,Annual,Negotiated
V0259,"Blair, Bell and Jordan",HR,Recruiting,9.51,Average,East Joshua,Small,2022-08-06,angelagreene@example.net,Net 60,True,Low,Medium,Biennial,Negotiated
V0260,Maxwell-Vaughn,Facilities,Cleaning,4.39,Poor,Jamiehaven,Medium,2022-10-26,dphillips@example.org,Net 30,True,Medium,Medium,Annual,Negotiated
V0261,Cruz-Allen,IT,Software,2.82,Poor,New Pamelatown,Large,2023-03-09,david96@example.com,Net 45,False,High,Low,Biennial,CPI Linked
V0262,"Vega, Farmer and Best",Marketing,SEO,5.91,Good,North Brendatown,Large,2022-12-22,billbrown@example.com,Net 45,True,High,Medium,Annual,Fixed
V0263,"Mitchell, Marquez and Wang",HR,Training,5.3,Good,Milesland,Medium,2023-10-12,joshuacollins@example.net,Net 45,False,Low,Low,Biennial,Negotiated
V0264,Mccann and Sons,Operations,Logistics,2.68,Good,Peterland,Small,2023-01-28,pblair@example.org,Net 45,False,Low,High,Biennial,Negotiated
V0265,Miller Group,Marketing,Events,8.43,Average,South Cherylton,Medium,2023-01-28,davidzimmerman@example.net,Net 45,False,Medium,Medium,Biennial,Fixed
V0266,Martin LLC,HR,Training,9.54,Poor,Garyberg,Medium,2024-01-05,jessica10@example.com,Net 30,False,Low,High,Biennial,Fixed
V0267,Nelson-Brown,HR,Training,6.62,Good,South Spencerstad,Medium,2022-07-15,kvillarreal@example.com,Net 60,False,High,High,Annual,CPI Linked
V0268,Scott Inc,IT,Cloud,3.21,Poor,East Joycetown,Small,2022-07-06,sanchezthomas@example.com,Net 60,True,Medium,Medium,Annual,CPI Linked
V0269,White Inc,IT,Cloud,6.78,Average,Walkerbury,Large,2023-04-21,joseph19@example.com,Net 60,False,Medium,Medium,Annual,Fixed
V0270,Shaw Inc,IT,Cloud,8.67,Poor,East Linda,Large,2022-07-07,djones@example.com,Net 45,True,Low,High,Annual,Fixed
V0271,Murphy-Tran,HR,Recruiting,6.73,Good,West Jamesshire,Small,2024-02-01,jodi37@example.com,Net 45,True,High,High,Annual,Negotiated
V0272,"Bonilla, Cuevas and Parsons",HR,Training,3.25,Average,East Adam,Small,2023-04-16,hallmichael@example.net,Net 45,True,Medium,Low,Biennial,Fixed
V0273,Tapia Inc,Marketing,Digital Ads,5.93,Good,Sweeneyport,Medium,2022-08-21,alyssaallen@example.com,Net 30,False,High,Low,Annual,CPI Linked
V0274,Kaufman and Sons,Marketing,Events,2.12,Average,Christopherbury,Medium,2024-04-28,xhaynes@example.com,Net 45,True,Low,Medium,Annual,CPI Linked
V0275,"Miller, Davis and Anderson",Facilities,Cleaning,5.02,Good,Jonesshire,Large,2022-07-20,ibates@example.org,Net 60,True,Low,Low,Annual,Fixed
V0276,Green-Edwards,HR,Training,8.87,Average,Haynesmouth,Medium,2023-02-04,enelson@example.org,Net 30,False,Low,Medium,Annual,Fixed
V0277,Chan PLC,Operations,Logistics,2.56,Poor,East Danielmouth,Large,2023-05-29,richard85@example.org,Net 60,True,Medium,High,Biennial,Fixed
V0278,Parker-Baker,Facilities,Cleaning,8.89,Average,North Ericport,Large,2024-03-04,lewismelissa@example.org,Net 60,True,Medium,Medium,Biennial,Fixed
V0279,Dawson LLC,Operations,Logistics,2.24,Average,Palmerport,Large,2022-12-21,anthonysullivan@example.com,Net 45,True,Medium,High,Annual,Negotiated
V0280,"Adkins, Wright and Murray",IT,Hardware,1.92,Average,North Alexander,Medium,2024-03-07,davidcolon@example.com,Net 60,True,Low,Medium,Biennial,Fixed
V0281,"Mccoy, Newman and Aguilar",Facilities,Cleaning,3.39,Average,Samanthaland,Small,2022-06-18,gonzalezdebbie@example.org,Net 45,False,Medium,High,Annual,Negotiated
V0282,Stein LLC,Operations,Logistics,8.78,Average,North Sheriton,Large,2022-10-10,zunderwood@example.com,Net 30,True,Medium,Low,Biennial,Fixed
V0283,Reyes Group,Facilities,Maintenance,8.86,Poor,West Jason,Small,2022-10-25,joshua20@example.net,Net 45,True,Medium,Medium,Biennial,CPI Linked
V0284,"Jensen, Holland and Porter",IT,Cloud,9.01,Poor,Brownview,Medium,2023-03-26,robertday@example.net,Net 30,False,High,Medium,Biennial,Negotiated
V0285,Mccoy PLC,IT,Cloud,4.96,Good,South Kimberlystad,Medium,2023-06-09,kcooper@example.net,Net 60,False,Low,Medium,Annual,CPI Linked
V0286,Price-White,HR,Recruiting,1.49,Poor,Carlatown,Small,2024-04-27,brian78@example.com,Net 45,False,High,High,Biennial,Negotiated
V0287,"Key, Dickson and Garcia",Marketing,SEO,4.99,Poor,West Amanda,Large,2024-02-06,gallagherstacie@example.net,Net 60,True,Low,High,Annual,Negotiated
V0288,Kelly-Combs,Operations,Utilities,1.4,Good,East Joel,Small,2023-02-04,robin05@example.net,Net 45,True,Low,Low,Annual,CPI Linked
V0289,"Thomas, Vaughan and Copeland",IT,Hardware,3.93,Good,Weaverburgh,Small,2023-06-17,davisjesse@example.org,Net 30,False,Low,High,Annual,Negotiated
V0290,Fox Inc,Facilities,Maintenance,0.76,Average,Samanthaborough,Medium,2024-02-18,matthewthompson@example.com,Net 60,True,High,Low,Annual,CPI Linked
V0291,Johnson PLC,IT,Software,8.94,Poor,Port Daniel,Medium,2023-07-15,susan56@example.net,Net 30,False,Low,Low,Biennial,Fixed
V0292,Rogers LLC,IT,Cloud,7.02,Average,East Jessica,Small,2023-05-07,lbanks@example.net,Net 45,False,Low,High,Biennial,CPI Linked
V0293,"Steele, Mcfarland and Buchanan",Operations,Utilities,9.3,Good,Lake Brianna,Medium,2022-10-16,sparker@example.com,Net 45,False,Low,High,Biennial,Fixed
V0294,Thompson Inc,HR,Training,0.89,Good,Rosalesshire,Medium,2022-06-27,carriemccall@example.net,Net 30,False,High,Low,Biennial,Fixed
V0295,Bowman Inc,HR,Training,2.33,Average,Taylorland,Large,2022-12-03,toni21@example.net,Net 60,True,Low,Medium,Biennial,Fixed
V0296,"Fowler, Tanner and Griffin",Marketing,Events,7.03,Average,Jasonland,Small,2023-03-01,kristin00@example.com,Net 30,True,Low,High,Annual,Fixed
V0297,Oconnor-Costa,IT,Software,2.34,Good,Snyderfurt,Large,2023-03-01,egarcia@example.net,Net 30,False,Low,Low,Biennial,Fixed
V0298,"Chang, Perez and Hayes",IT,Cloud,3.83,Average,West Andrewview,Large,2022-08-22,petersonpamela@example.org,Net 30,False,High,High,Annual,Negotiated
V0299,"Jones, Mcmahon and Spence",HR,Recruiting,4.43,Poor,Brookefort,Small,2023-12-01,reynoldsdesiree@example.net,Net 45,True,Low,Low,Biennial,CPI Linked
V0300,Moore-Garcia,Operations,Logistics,2.99,Good,East Robert,Medium,2023-08-06,donna43@example.org,Net 45,False,High,Medium,Annual,CPI Linked
V0301,Long PLC,Operations,Utilities,5.46,Good,Hernandezstad,Medium,2022-06-04,qmiller@example.net,Net 30,False,High,Low,Biennial,Negotiated
V0302,"Castillo, Davis and Clark",Facilities,Cleaning,6.25,Average,Tiffanyfort,Medium,2024-03-18,parkerraymond@example.com,Net 30,False,Low,High,Annual,Negotiated
V0303,"Baker, May and Hughes",Marketing,SEO,6.01,Average,Nicolestad,Small,2022-10-24,cwilliams@example.com,Net 30,True,Medium,Low,Annual,Fixed
V0304,Perez-Adams,Facilities,Maintenance,0.84,Average,East Karenville,Large,2022-08-07,lindsey69@example.org,Net 60,False,High,Low,Biennial,Fixed
V0305,"Brown, Hughes and Mills",Operations,Logistics,4.72,Average,Armstrongbury,Small,2023-06-06,christian08@example.net,Net 30,False,Low,High,Annual,Fixed
V0306,"Mcbride, Byrd and Oliver",Facilities,Cleaning,4.25,Good,Port Shaneburgh,Large,2022-11-13,davidhenderson@example.net,Net 45,True,Low,High,Biennial,Negotiated
V0307,Harris-Carson,HR,Training,9.91,Average,Port Brooke,Medium,2023-02-05,millerangela@example.net,Net 45,True,High,High,Annual,CPI Linked
V0308,Gates-Stone,IT,Hardware,1.51,Average,Port Isabellashire,Large,2023-07-12,jrodriguez@example.org,Net 45,False,Low,Medium,Annual,Negotiated
V0309,"Matthews, Chang and Ayers",Marketing,Digital Ads,1.94,Poor,New Kimberlyport,Large,2024-04-05,natalie46@example.net,Net 30,False,Medium,High,Annual,Negotiated
V0310,Armstrong-Kennedy,IT,Cloud,3.89,Average,West Richard,Small,2023-09-25,vwilliams@example.net,Net 30,False,Medium,High,Biennial,Fixed
V0311,Williams Group,HR,Training,4.46,Poor,Pennytown,Small,2023-02-19,larry71@example.org,Net 30,False,High,High,Annual,Negotiated
V0312,Turner Ltd,Marketing,SEO,6.42,Good,Schroedermouth,Large,2022-12-28,fjacobs@example.org,Net 30,True,Low,Medium,Biennial,Negotiated
V0313,Lewis-Holloway,IT,Software,6.83,Poor,Malonestad,Small,2024-02-29,robertsonerik@example.com,Net 30,True,High,High,Biennial,CPI Linked
V0314,"Hunter, Taylor and York",HR,Training,4.83,Good,East Jamesborough,Small,2024-03-13,wrightstephen@example.com,Net 60,True,Medium,Low,Annual,Fixed
V0315,"Gonzalez, Richardson and Marshall",Marketing,Digital Ads,2.38,Poor,Reidville,Medium,2023-11-13,allentracy@example.com,Net 30,False,Low,Medium,Biennial,Negotiated
V0316,Horne Group,Marketing,Events,9.82,Good,Maxview,Large,2024-01-04,mitchellpaul@example.org,Net 45,False,Low,High,Annual,Negotiated
V0317,"Chan, Lewis and Walker",Operations,Utilities,7.97,Poor,Lake Jamie,Medium,2023-10-21,xpalmer@example.net,Net 30,False,Medium,Low,Annual,CPI Linked
V0318,Wells and Sons,Operations,Logistics,3.34,Average,New Lauren,Medium,2022-11-22,charlene44@example.com,Net 30,True,Medium,Medium,Annual,Negotiated
V0319,York-Stevens,Operations,Logistics,3.18,Good,South Kevin,Large,2023-07-11,asilva@example.net,Net 60,False,High,High,Biennial,Fixed
V0320,"Levy, Franco and Hoffman",HR,Recruiting,6.5,Average,Kennethville,Small,2023-06-11,rogersjoshua@example.com,Net 30,False,Medium,Medium,Annual,CPI Linked
V0321,Green-Dawson,HR,Recruiting,2.07,Average,Jacobhaven,Small,2024-01-17,racheltrujillo@example.net,Net 45,False,Low,Low,Biennial,Fixed
V0322,Guerrero-Becker,IT,Software,8.52,Good,Lake Tylerport,Large,2022-12-20,vsullivan@example.org,Net 60,False,Low,Low,Biennial,CPI Linked
V0323,"Erickson, Armstrong and Lee",Facilities,Cleaning,2.68,Poor,Lake Amanda,Small,2024-02-01,qknox@example.com,Net 60,True,Low,High,Biennial,CPI Linked
V0324,"Evans, Jackson and Sandoval",Marketing,Digital Ads,6.81,Good,West Connor,Large,2022-09-09,jessica82@example.net,Net 45,True,High,Low,Biennial,CPI Linked
V0325,Pena-Walker,HR,Training,1.42,Average,Lake Monica,Medium,2023-04-24,nathan94@example.com,Net 60,True,High,Medium,Annual,Fixed
V0326,Ruiz Ltd,Facilities,Cleaning,5.58,Good,South Pamelahaven,Medium,2022-09-03,amoreno@example.org,Net 45,False,Low,Low,Annual,CPI Linked
V0327,Taylor and Sons,HR,Recruiting,4.04,Average,Robertshire,Small,2024-04-25,tthomas@example.org,Net 60,True,Low,Low,Biennial,Fixed
V0328,Freeman Ltd,Operations,Logistics,9.36,Average,West Cynthia,Large,2022-06-05,whill@example.org,Net 60,True,Medium,Medium,Annual,Fixed
V0329,"Duran, Burns and Gallagher",IT,Cloud,6.99,Poor,East Christinachester,Small,2023-04-11,ysanford@example.org,Net 30,False,High,Low,Annual,CPI Linked
V0330,Ferguson Ltd,Facilities,Cleaning,3.75,Average,Stephaniemouth,Small,2024-01-10,andrewsmith@example.net,Net 45,False,Medium,Medium,Biennial,CPI Linked
V0331,Perez LLC,Marketing,SEO,3.79,Poor,Davidfurt,Large,2023-06-27,gary04@example.com,Net 30,False,Medium,Low,Biennial,CPI Linked
V0332,Luna-Carlson,Facilities,Maintenance,6.75,Average,Ryanberg,Small,2023-02-23,mhoward@example.org,Net 30,False,High,Low,Biennial,Negotiated
V0333,Smith-Walker,IT,Cloud,9.84,Average,East Jessica,Small,2023-09-03,daviddawson@example.org,Net 30,True,High,Medium,Annual,Negotiated
V0334,Mcdowell-Scott,Operations,Logistics,5.84,Good,New Virginiaville,Small,2023-10-22,williamsdarrell@example.com,Net 30,True,High,Low,Biennial,Fixed
V0335,Martinez-King,HR,Training,0.72,Good,East Heather,Large,2023-10-04,turnerdorothy@example.net,Net 45,False,Medium,High,Biennial,CPI Linked
V0336,"Nelson, Obrien and Taylor",Facilities,Cleaning,2.75,Poor,New Jenniferville,Large,2023-01-07,glovertyler@example.net,Net 45,False,Medium,Low,Biennial,Negotiated
V0337,Strickland PLC,IT,Hardware,1.56,Average,West Jade,Small,2023-01-17,benjamincrawford@example.org,Net 45,False,High,Medium,Biennial,Fixed
